Energy MeV,DOS1,DOS2,DOS3 cm^2 sr
0.0101158,0,0,0
0.0103514,0,0,0
0.0105925,0,0,0
0.0108393,0,0,0
0.0110917,0,0,0
0.0113501,0,0,0
0.0116145,0,0,0
0.011885,0,0,0
0.0121619,0,0,0
0.0124451,0,0,0
0.012735,0,0,0
0.0130317,0,0,0
0.0133352,0,0,0
0.0136458,0,0,0
0.0139637,0,0,0
0.0142889,0,0,0
0.0146218,0,0,0
0.0149624,0,0,0
0.0153109,0,0,0
0.0156675,0,0,0
0.0160325,0,0,0
0.0164059,0,0,0
0.016788,0,0,0
0.0171791,0,0,0
0.0175792,0,0,0
0.0179887,0,0,0
0.0184077,0,0,0
0.0188365,0,0,0
0.0192752,0,0,0
0.0197242,0,0,0
0.0201837,0,0,0
0.0206538,0,0,0
0.0211349,0,0,0
0.0216272,0,0,0
0.0221309,0,0,0
0.0226464,0,0,0
0.0231739,0,0,0
0.0237137,0,0,0
0.0242661,0,0,0
0.0248313,0,0,0
0.0254097,0,0,0
0.0260016,0,0,0
0.0266073,0,0,0
0.027227,0,0,0
0.0278612,0,0,0
0.0285102,0,0,0
0.0291743,0,0,0
0.0298538,0,0,0
0.0305492,0,0,0
0.0312608,1.08984e-07,0,0
0.031989,4.16191e-06,0,0
0.0327341,2.40372e-05,0,0
0.0334965,4.83918e-05,0,0
0.0342768,6.77386e-05,0,0
0.0350752,8.10763e-05,0,0
0.0358922,9.41715e-05,0,0
0.0367282,0.000102125,0,0
0.0375837,0.000110964,0,0
0.0384592,0.000116981,0,0
0.039355,0.000125001,0,0
0.0402717,0.000132616,0,0
0.0412098,0.000138398,0,0
0.0421697,0.000145262,0,0
0.0431519,0.000149393,0,0
0.044157,0.000156078,0,0
0.0451856,0.000160752,0,0
0.0462381,0.000165699,0,0
0.0473151,0.00017369,0,0
0.0484172,0.000176172,0,0
0.049545,0.000183668,0,0
0.0506991,0.000189811,0,0
0.05188,0.000196797,0,0
0.0530884,0.000200682,0,0
0.054325,0.000207953,0,0
0.0555904,0.00021281,0,0
0.0568853,0.000221636,0,0
0.0582103,0.000228388,0,0
0.0595662,0.000232869,0,0
0.0609537,0.000241328,0,0
0.0623735,0.000249019,0,0
0.0638263,0.000256463,0,0
0.0653131,0.00025987,0,0
0.0668344,0.000270175,0,0
0.0683912,0.000277458,0,0
0.0699842,0.000287878,0,0
0.0716143,0.000294873,0,0
0.0732825,0.00030716,0,0
0.0749894,0.000308819,0,0
0.0767361,0.000312891,0,0
0.0785236,0.000327219,0,0
0.0803526,0.000336621,0,0
0.0822243,0.000349058,0,0
0.0841395,0.000354739,0,0
0.0860994,0.00036127,0,0
0.0881049,0.000372922,0,0
0.0901571,0.00038015,0,0
0.0922571,0.00039087,0,0
0.0944061,0.000405628,0,0
0.0966051,0.000408813,0,0
0.0988553,0.000423935,0,0
0.101158,0.000430104,0,0
0.103514,0.000445013,0,0
0.105925,0.000449626,0,0
0.108393,0.000455207,0,0
0.110917,0.000462723,0,0
0.113501,0.000467944,0,0
0.116145,0.000477142,0,0
0.11885,0.000484934,0,0
0.121619,0.000484318,0,0
0.124451,0.000503848,0,0
0.12735,0.000492045,0,0
0.130317,0.000492015,0,0
0.133352,0.000499501,0,0
0.136458,0.000492407,0,0
0.139637,0.000496605,0,0
0.142889,0.00049537,0,0
0.146218,0.00049218,0,0
0.149624,0.000489544,0,0
0.153109,0.000492548,0,0
0.156675,0.000485213,0,0
0.160325,0.000470351,0,0
0.164059,0.000466453,0,0
0.16788,0.000466636,0,0
0.171791,0.000457352,0,0
0.175792,0.000452056,0,0
0.179887,0.000444859,0,0
0.184077,0.000444285,0,0
0.188365,0.000436798,0,0
0.192752,0.000429285,0,0
0.197242,0.000419665,0,0
0.201837,0.000412079,0,0
0.206538,0.000408875,0,0
0.211349,0.000399481,0,0
0.216272,0.000395267,0,0
0.221309,0.000385098,0,0
0.226464,0.00038783,0,0
0.231739,0.00037473,0,0
0.237137,0.000360077,0,0
0.242661,0.000355231,0,0
0.248313,0.000351902,0,0
0.254097,0.000334875,0,0
0.260016,0.000325444,0,0
0.266073,0.000319101,0,0
0.27227,0.000317777,0,0
0.278612,0.000313849,0,0
0.285102,0.000301661,0,0
0.291743,0.000306172,0,0
0.298538,0.000286114,2.29652e-06,0
0.305492,0.000282335,6.42809e-06,0
0.312608,0.000276107,5.99536e-06,0
0.31989,0.00027148,6.43973e-06,0
0.327341,0.000269673,8.71263e-06,0
0.334965,0.000263441,5.39913e-06,0
0.342768,0.000254862,5.23648e-06,0
0.350752,0.000252889,5.53169e-06,0
0.358922,0.000247251,5.50977e-06,0
0.367282,0.000241139,5.92984e-06,0
0.375837,0.000239354,5.05378e-06,0
0.384592,0.000226972,3.25176e-06,0
0.39355,0.000222301,4.27552e-06,0
0.402717,0.000217875,5.51213e-06,0
0.412098,0.000216681,7.36835e-06,0
0.421697,0.000220794,6.37365e-06,0
0.431519,0.000217234,4.20079e-06,0
0.44157,0.000212563,4.30508e-06,0
0.451856,0.00021453,5.32918e-06,0
0.462381,0.000205222,4.35749e-06,0
0.473151,0.000215499,3.26041e-06,0
0.484172,0.000215923,3.26315e-06,0
0.49545,0.000212155,1.99505e-06,0
0.506991,0.00022131,2.65621e-06,0
0.5188,0.000216128,4.17122e-06,0
0.530884,0.000223868,4.61351e-06,0
0.54325,0.000229819,3.46597e-06,0
0.555904,0.000225912,3.97982e-06,0
0.568853,0.000224847,3.86824e-06,0
0.582103,0.00022751,3.53772e-06,0
0.595662,0.000237875,3.10609e-06,0
0.609537,0.000241878,4.6701e-06,0
0.623735,0.000249682,3.35065e-06,0
0.638263,0.000247251,5.7282e-06,0
0.653131,0.000252039,4.92595e-06,0
0.668344,0.000254542,5.04616e-06,0
0.683912,0.000252094,3.59528e-06,0
0.699842,0.000257675,5.31657e-06,0
0.716143,0.000263383,3.83211e-06,0
0.732825,0.000254901,6.55296e-06,0
0.749894,0.000264039,5.25856e-06,0
0.767361,0.000266718,4.14226e-06,0
0.785236,0.000264969,6.77069e-06,0
0.803526,0.000267269,5.08196e-06,0
0.822243,0.000265691,5.20192e-06,0
0.841395,0.000274786,3.75351e-06,0
0.860994,0.000276141,5.60921e-06,0
0.881049,0.00027114,3.71059e-06,0
0.901571,0.000275376,7.22132e-06,0
0.922571,0.000286309,5.27419e-06,0
0.944061,0.000275969,6.39942e-06,0
0.966051,0.000272559,8.35464e-06,0
0.988553,0.000280754,6.47804e-06,0
1.01158,0.000279209,3.92758e-06,0
1.03514,0.000278611,7.28762e-06,0
1.05925,0.000289268,7.69348e-06,0
1.08393,0.000288951,8.32031e-06,0
1.10917,0.000288989,4.93612e-06,0
1.13501,0.000298835,6.03409e-06,0
1.16145,0.000295718,4.66376e-06,0
1.1885,0.000309068,7.60441e-06,0
1.21619,0.000294936,5.44765e-06,0
1.24451,0.000303495,7.77578e-06,0
1.2735,0.000304772,6.62693e-06,2.78237e-07
1.30317,0.000306865,5.28441e-06,1.14223e-06
1.33352,0.000312291,6.12674e-06,1.68171e-06
1.36458,0.000312085,5.95373e-06,4.87148e-06
1.39637,0.000321489,1.08446e-05,4.8217e-06
1.42889,0.000310424,5.74595e-06,7.776e-06
1.46218,0.000305187,1.0155e-05,9.33047e-06
1.49624,0.000320141,5.82391e-06,1.34935e-05
1.53109,0.000331178,7.93533e-06,1.32107e-05
1.56675,0.000330433,9.20193e-06,1.43718e-05
1.60325,0.00032094,8.52447e-06,2.00732e-05
1.64059,0.000331321,6.55019e-06,2.20453e-05
1.6788,0.000336579,6.3223e-06,2.3262e-05
1.71791,0.000327437,5.55804e-06,2.38093e-05
1.75792,0.00033212,8.24548e-06,2.49587e-05
1.79887,0.000347623,4.38532e-06,2.99318e-05
1.84077,0.000332886,7.81791e-06,3.37182e-05
1.88365,0.000352115,8.38851e-06,3.34187e-05
1.92752,0.000343952,6.29897e-06,4.00761e-05
1.97242,0.000347173,1.21359e-05,4.1223e-05
2.01837,0.000356032,7.40204e-06,3.90361e-05
2.06538,0.000353531,9.95134e-06,4.20424e-05
2.11349,0.000358746,5.36462e-06,5.03022e-05
2.16272,0.000369143,1.04122e-05,4.58736e-05
2.21309,0.000356117,1.38303e-05,3.90333e-05
2.26464,0.000367915,1.12174e-05,6.03754e-05
2.31739,0.000380199,7.55416e-06,5.17703e-05
2.37137,0.000368158,1.00618e-05,5.16392e-05
2.42661,0.000370734,1.03885e-05,5.62187e-05
2.48313,0.000377365,6.89973e-06,5.95149e-05
2.54097,0.000392167,6.86884e-06,5.79036e-05
2.60016,0.000389401,1.18165e-05,6.19731e-05
2.66073,0.000389147,9.11474e-06,6.97623e-05
2.7227,0.000392852,8.01625e-06,6.41012e-05
2.78612,0.000393023,1.04738e-05,6.406e-05
2.85102,0.000391059,1.13018e-05,6.95265e-05
2.91743,0.000413441,1.34465e-05,7.56653e-05
2.98538,0.000394675,1.05205e-05,7.68782e-05
3.05492,0.00041415,1.19534e-05,6.24527e-05
3.12608,0.000422485,1.66826e-05,7.80007e-05
3.1989,0.000408566,7.34972e-06,6.70982e-05
3.27341,0.000442965,1.42037e-05,8.50268e-05
3.34965,0.000432729,1.60038e-05,7.62221e-05
3.42768,0.000444128,9.71689e-06,7.38926e-05
3.50752,0.000448945,1.52632e-05,7.36685e-05
3.58922,0.000442996,1.22542e-05,8.68282e-05
3.67282,0.000452669,1.16649e-05,9.01147e-05
3.75837,0.000455742,1.48862e-05,0.000104652
3.84592,0.000448786,1.19925e-05,9.88963e-05
3.9355,0.000457611,1.36149e-05,0.00010451
4.02717,0.000478936,2.29239e-05,0.000108666
4.12098,0.00047243,9.06324e-06,0.000108878
4.21697,0.00048415,1.76146e-05,0.000110974
4.31519,0.000495532,1.44238e-05,0.000130065
4.4157,0.000510578,2.59161e-05,0.000118423
4.51856,0.000483555,2.66607e-05,0.000110017
4.62381,0.000483404,1.30459e-05,0.000130433
4.73151,0.000509334,1.9744e-05,0.00013528
4.84172,0.000503277,1.8983e-05,0.000161945
4.9545,0.00051176,2.21094e-05,0.000158981
5.06991,0.000556088,2.06092e-05,0.000144222
5.188,0.000513536,2.01885e-05,0.000170939
5.30884,0.000556205,8.89887e-06,0.000157587
5.4325,0.000551429,1.8833e-05,0.000181046
5.55904,0.000564422,2.43394e-05,0.000173506
5.68853,0.000576387,2.19094e-05,0.00018079
5.82103,0.000563595,2.15526e-05,0.000199237
5.95662,0.000563972,1.92242e-05,0.000198164
6.09537,0.000580604,3.63841e-05,0.000209463
6.23735,0.000566624,1.30457e-05,0.000213976
6.38263,0.000580922,2.18702e-05,0.00022474
6.53131,0.00059729,2.5876e-05,0.000273393
6.68344,0.000581198,2.45075e-05,0.000239993
6.83912,0.000601575,2.6744e-05,0.000261669
6.99842,0.000631584,3.59953e-05,0.000258507
7.16143,0.000672208,1.86743e-05,0.000320292
